precinct,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_JOHNSON,gen_ind_KENNEDY,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_SCHOENKE,gen_ind_SMITH,gen_ind_STEIN,gen_rep_TRUMP,gen_unk_LIMBAUGH
GIBSON11-4 UNION CENTRAL,58.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,4.0,0.0,2.0,2.0,442.0,0.0
GIBSON3 BAILEY PARK,194.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,10.0,0.0,1.0,1.0,664.0,0.0
GIBSON6 HUMBOLDT HS,128.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,124.0,0.0
GRAINGER1-1,92.0,0.0,0.0,3.0,0.0,11.0,3.0,0.0,1.0,0.0,3.0,8.0,669.0,0.0
GRAINGER1-2,111.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,3.0,2.0,734.0,0.0
GRAINGER2-1,88.0,0.0,0.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,390.0,0.0
GRAINGER2-2,182.0,0.0,0.0,1.0,0.0,12.0,1.0,0.0,2.0,0.0,1.0,1.0,912.0,0.0
GRAINGER3-1,153.0,2.0,0.0,1.0,0.0,19.0,2.0,0.0,0.0,0.0,9.0,4.0,777.0,0.0
GRAINGER3-2,102.0,0.0,0.0,2.0,0.0,16.0,2.0,0.0,0.0,0.0,4.0,4.0,812.0,0.0
GRAINGER4-1,83.0,0.0,0.0,3.0,0.0,6.0,2.0,0.0,2.0,0.0,2.0,0.0,378.0,0.0
GRAINGER4-2,108.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,3.0,597.0,0.0
GRAINGER5-1,139.0,0.0,0.0,1.0,0.0,15.0,1.0,0.0,1.0,0.0,2.0,2.0,606.0,0.0
GRAINGER5-2,96.0,1.0,0.0,5.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,2.0,751.0,0.0
HAMBLEN01-1,288.0,0.0,0.0,3.0,0.0,22.0,2.0,0.0,3.0,0.0,1.0,5.0,536.0,0.0
HAMBLEN02-1,287.0,3.0,0.0,2.0,0.0,18.0,2.0,0.0,1.0,0.0,3.0,2.0,607.0,0.0
HAMBLEN03-1,307.0,0.0,0.0,4.0,0.0,29.0,2.0,0.0,4.0,0.0,2.0,8.0,783.0,0.0
HAMBLEN04-1,242.0,1.0,0.0,1.0,0.0,17.0,1.0,0.0,5.0,0.0,4.0,4.0,491.0,0.0
HAMBLEN05-1,333.0,0.0,0.0,2.0,0.0,34.0,4.0,0.0,19.0,0.0,5.0,7.0,1223.0,0.0
HAMBLEN06-1,301.0,0.0,0.0,2.0,0.0,24.0,1.0,0.0,1.0,0.0,4.0,6.0,912.0,0.0
HAMBLEN07-1,315.0,0.0,0.0,2.0,0.0,33.0,1.0,0.0,2.0,0.0,5.0,8.0,1398.0,0.0
HAMBLEN08-1,286.0,0.0,0.0,3.0,0.0,39.0,0.0,0.0,1.0,0.0,10.0,8.0,1478.0,0.0
HAMBLEN09-1,117.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,2.0,3.0,672.0,0.0
HAMBLEN09-2,131.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,4.0,0.0,4.0,2.0,804.0,0.0
HAMBLEN10-1,93.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,8.0,2.0,543.0,0.0
HAMBLEN10-2,191.0,0.0,0.0,1.0,0.0,26.0,0.0,0.0,1.0,0.0,2.0,6.0,1020.0,0.0
HAMBLEN11-1,116.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,1.0,0.0,2.0,3.0,539.0,0.0
HAMBLEN11-2,58.0,0.0,0.0,2.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0,2.0,385.0,0.0
HAMBLEN12-1,356.0,0.0,0.0,2.0,0.0,51.0,1.0,1.0,7.0,0.0,5.0,13.0,1475.0,0.0
HAYWOOD1-1,429.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,64.0,0.0
HAYWOOD10-1,450.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,438.0,0.0
HAYWOOD2-1,362.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,184.0,0.0
HAYWOOD3-1,331.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,3.0,139.0,0.0
HAYWOOD4-1,426.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,354.0,0.0
HAYWOOD5-1,201.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,461.0,0.0
HAYWOOD6-1,281.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,478.0,0.0
HAYWOOD7-1,443.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,258.0,0.0
HAYWOOD8-1,379.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,324.0,0.0
HAYWOOD9-1,150.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0
HAYWOOD9-2,259.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,4.0,241.0,0.0
HENRYEARLY VOTING - WRITE-INS,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
HUMPHREYS4-5 NJMC,293.0,2.0,0.0,3.0,0.0,25.0,1.0,0.0,1.0,0.0,7.0,0.0,773.0,0.0
JACKSON1-1,130.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,272.0,0.0
JACKSON1-2,123.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0
JACKSON2-1,75.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,246.0,0.0
JACKSON2-2,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0
JACKSON3-1,95.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,271.0,0.0
JACKSON3-2,71.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,329.0,0.0
JACKSON4-1,68.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,2.0,297.0,0.0
JACKSON4-2,78.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,3.0,304.0,0.0
JACKSON5-1,92.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,311.0,0.0
JACKSON5-2,118.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,297.0,0.0
JACKSON6-1,96.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,224.0,0.0
JACKSON6-2,93.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,3.0,0.0,340.0,0.0
JACKSONEARLY VOTING - WRITE-INS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
JEFFERSON3 WHITE PINE,386.0,1.0,0.0,3.0,0.0,65.0,2.0,0.0,6.0,0.0,18.0,10.0,2211.0,0.0
JEFFERSON9 TALBOTT SCHOOL,233.0,0.0,0.0,6.0,0.0,35.0,0.0,0.0,2.0,0.0,6.0,14.0,1413.0,0.0
JOHNSON7 CITY,159.0,0.0,0.0,1.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,4.0,696.0,0.0
JOHNSONEARLY VOTING - WRITE-INS,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
KNOX19E THRIVE LONSDALE,440.0,0.0,0.0,2.0,0.0,11.0,1.0,0.0,1.0,0.0,4.0,9.0,142.0,0.0
KNOX19W THRIVE LONSDALE,223.0,0.0,0.0,1.0,0.0,16.0,1.0,0.0,3.0,0.0,1.0,5.0,109.0,0.0
KNOX65E SHORELINE,1554.0,5.0,0.0,8.0,0.0,224.0,1.0,0.0,36.0,0.0,33.0,38.0,2915.0,0.0
KNOX65W CONCORD,1215.0,3.0,0.0,16.0,0.0,178.0,2.0,0.0,23.0,0.0,15.0,16.0,3068.0,0.0
KNOX69E BLUEGRASS,1111.0,4.0,0.0,8.0,0.0,162.0,2.0,0.0,40.0,0.0,25.0,16.0,2045.0,0.0
KNOX69N WEST VALLEY,1041.0,0.0,0.0,8.0,0.0,140.0,4.0,0.0,22.0,0.0,15.0,16.0,1698.0,0.0
KNOX69S NORTHSHORE,962.0,1.0,0.0,5.0,1.0,126.0,4.0,0.0,38.0,0.0,19.0,29.0,1762.0,0.0
KNOX69W A. L. LOTTS,995.0,0.0,0.0,4.0,0.0,115.0,2.0,0.0,21.0,0.0,25.0,18.0,1588.0,0.0
KNOX70E AMHERST,1102.0,0.0,0.0,8.0,3.0,178.0,2.0,0.0,42.0,0.0,30.0,24.0,2593.0,0.0
KNOX70W BALL CAMP,1213.0,2.0,0.0,7.0,0.0,167.0,3.0,0.0,37.0,0.0,34.0,35.0,2237.0,0.0
KNOX90 SOUTH DOYLE,673.0,2.0,0.0,6.0,0.0,73.0,3.0,0.0,18.0,0.0,15.0,18.0,1973.0,0.0
LAUDERDALEEARLY VOTING - WRITE-INS,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
LEWIS1-1,193.0,5.0,0.0,2.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,27.0,357.0,0.0
LEWIS2-1,97.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,437.0,0.0
LEWIS3-1,78.0,1.0,0.0,1.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,6.0,435.0,0.0
LEWIS4-1,74.0,1.0,0.0,2.0,0.0,7.0,2.0,0.0,0.0,0.0,4.0,4.0,448.0,0.0
LEWIS5-1,90.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,467.0,1.0
LEWIS6-1,120.0,0.0,0.0,1.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,383.0,0.0
LEWIS7-1,77.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,423.0,0.0
LEWIS8-1,77.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,329.0,0.0
LEWIS9-1,84.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,306.0,0.0
MACONARMORY,122.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,3.0,4.0,688.0,0.0
MACONEARLY VOTING - WRITE-INS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
MACONWELCOME CENTER,106.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,3.0,792.0,0.0
MADISON2-3 MONTESSORI,699.0,2.0,0.0,2.0,0.0,46.0,0.0,0.0,52.0,0.0,3.0,14.0,690.0,0.0
MARSHALL6 PARKVIEW,319.0,1.0,0.0,3.0,0.0,29.0,1.0,0.0,0.0,0.0,3.0,7.0,760.0,0.0
MARSHALLEARLY VOTING - WRITE-INS,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
MCMINNJONES CHAPEL,92.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,725.0,0.0
MONROE01,458.0,0.0,0.0,6.0,1.0,48.0,0.0,0.0,4.0,0.0,5.0,10.0,1783.0,0.0
MONROE02,363.0,1.0,0.0,7.0,0.0,22.0,0.0,0.0,0.0,0.0,3.0,0.0,889.0,0.0
MONROE03,155.0,0.0,0.0,4.0,0.0,23.0,2.0,0.0,1.0,0.0,5.0,3.0,623.0,0.0
MONROE04,312.0,3.0,0.0,1.0,1.0,45.0,3.0,0.0,1.0,0.0,7.0,8.0,1352.0,0.0
MONROE05,426.0,0.0,0.0,5.0,0.0,47.0,1.0,0.0,2.0,0.0,6.0,4.0,1347.0,0.0
MONROE06,241.0,0.0,0.0,1.0,0.0,23.0,2.0,0.0,0.0,0.0,3.0,7.0,1046.0,0.0
MONROE07,367.0,5.0,0.0,3.0,0.0,49.0,2.0,0.0,2.0,0.0,6.0,5.0,1450.0,0.0
MONROE08,98.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,2.0,495.0,0.0
MONROE09,186.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,6.0,4.0,849.0,0.0
MONROE10,88.0,1.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,4.0,483.0,0.0
MONROE11,284.0,1.0,0.0,1.0,0.0,24.0,3.0,0.0,2.0,0.0,3.0,7.0,1618.0,0.0
MONROE12,78.0,0.0,0.0,2.0,0.0,15.0,5.0,0.0,0.0,0.0,1.0,1.0,649.0,0.0
MONROE14,130.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0,3.0,790.0,0.0
MONTGOMERYEARLY VOTING - WRITE-INS,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0
OVERTONEARLY VOTING - WRITE-INS,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
PUTNAM4B MONTEREY CITY,185.0,0.0,0.0,3.0,0.0,10.0,1.0,0.0,0.0,0.0,2.0,7.0,469.0,0.0
PUTNAMEARLY VOTING - WRITE-INS,0.0,13.0,0.0,0.0,16.0,0.0,0.0,0.0,98.0,1.0,0.0,0.0,0.0,0.0
RHEA1-1 SPRING CITY NORTH,213.0,0.0,0.0,6.0,0.0,29.0,2.0,0.0,3.0,0.0,13.0,6.0,869.0,0.0
RHEA2-1 SPRING CITY SOUTH,268.0,2.0,0.0,3.0,0.0,23.0,1.0,0.0,5.0,0.0,2.0,3.0,941.0,0.0
ROBERTSONEARLY VOTING - WRITE-INS,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0
RUTHERFORD1-1,2063.0,0.0,0.0,11.0,0.0,103.0,6.0,0.0,2.0,0.0,11.0,31.0,1311.0,0.0
RUTHERFORD10-1,1107.0,0.0,0.0,6.0,0.0,88.0,2.0,0.0,15.0,0.0,12.0,15.0,1455.0,0.0
RUTHERFORD10-2,817.0,0.0,0.0,4.0,0.0,102.0,2.0,0.0,2.0,0.0,7.0,20.0,1566.0,0.0
RUTHERFORD11-1,799.0,2.0,0.0,1.0,0.0,60.0,4.0,0.0,3.0,0.0,8.0,17.0,1190.0,0.0
RUTHERFORD11-2,839.0,0.0,0.0,3.0,0.0,77.0,4.0,0.0,6.0,0.0,9.0,22.0,1296.0,0.0
RUTHERFORD12-1,465.0,0.0,0.0,3.0,0.0,45.0,0.0,0.0,0.0,0.0,3.0,13.0,639.0,0.0
RUTHERFORD12-2,608.0,1.0,0.0,3.0,0.0,56.0,4.0,0.0,2.0,0.0,8.0,16.0,999.0,0.0
RUTHERFORD12-3,357.0,0.0,0.0,4.0,0.0,24.0,2.0,0.0,2.0,0.0,4.0,6.0,336.0,0.0
RUTHERFORD2-1,506.0,0.0,0.0,5.0,0.0,85.0,3.0,0.0,5.0,0.0,3.0,7.0,1832.0,0.0
RUTHERFORD2-2,664.0,0.0,0.0,8.0,0.0,100.0,1.0,0.0,2.0,0.0,8.0,16.0,1949.0,1.0
RUTHERFORD2-3,149.0,0.0,0.0,2.0,0.0,30.0,1.0,0.0,0.0,0.0,4.0,4.0,759.0,0.0
RUTHERFORD3-1,578.0,0.0,0.0,3.0,0.0,85.0,2.0,0.0,5.0,0.0,6.0,14.0,1872.0,0.0
RUTHERFORD3-2,715.0,1.0,0.0,4.0,0.0,83.0,1.0,0.0,5.0,0.0,9.0,16.0,1484.0,0.0
RUTHERFORD4-1,177.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,1.0,2.0,543.0,0.0
RUTHERFORD4-2,463.0,0.0,0.0,0.0,0.0,29.0,2.0,0.0,3.0,0.0,4.0,10.0,550.0,0.0
RUTHERFORD4-3,774.0,1.0,0.0,4.0,0.0,95.0,2.0,0.0,3.0,0.0,4.0,20.0,1701.0,0.0
RUTHERFORD4-4,310.0,1.0,0.0,1.0,0.0,27.0,1.0,0.0,1.0,0.0,6.0,17.0,411.0,0.0
RUTHERFORD5-1,755.0,2.0,0.0,8.0,0.0,88.0,7.0,0.0,6.0,0.0,8.0,22.0,1071.0,0.0
RUTHERFORD5-2,969.0,0.0,0.0,10.0,0.0,62.0,7.0,0.0,1.0,0.0,6.0,20.0,702.0,0.0
RUTHERFORD6-1,625.0,1.0,0.0,0.0,0.0,90.0,2.0,0.0,4.0,0.0,5.0,20.0,2169.0,1.0
RUTHERFORD6-2,824.0,1.0,0.0,2.0,0.0,97.0,8.0,0.0,15.0,0.0,12.0,21.0,1974.0,0.0
RUTHERFORD7-1,793.0,0.0,0.0,6.0,0.0,110.0,1.0,0.0,9.0,0.0,11.0,18.0,1488.0,0.0
RUTHERFORD7-2,1208.0,0.0,0.0,2.0,0.0,138.0,2.0,0.0,4.0,0.0,15.0,27.0,2206.0,2.0
RUTHERFORD8-1,638.0,0.0,0.0,3.0,0.0,91.0,4.0,0.0,13.0,0.0,9.0,14.0,2079.0,0.0
RUTHERFORD8-2,216.0,1.0,0.0,2.0,0.0,27.0,0.0,0.0,5.0,0.0,6.0,9.0,625.0,0.0
RUTHERFORD8-3,355.0,0.0,0.0,1.0,0.0,54.0,1.0,0.0,4.0,0.0,8.0,2.0,1199.0,0.0
RUTHERFORD8-4,380.0,0.0,0.0,2.0,0.0,61.0,1.0,0.0,4.0,0.0,7.0,7.0,1058.0,0.0
RUTHERFORD9-1,1081.0,3.0,0.0,6.0,0.0,114.0,4.0,0.0,4.0,0.0,17.0,19.0,2152.0,0.0
RUTHERFORD9-2,723.0,0.0,0.0,5.0,0.0,93.0,2.0,0.0,11.0,0.0,13.0,18.0,2009.0,0.0
RUTHERFORDEARLY VOTING - WRITE-INS,0.0,45.0,0.0,0.0,4.0,0.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,21.0
SCOTT5-1 CITY PARK,48.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,319.0,0.0
SEQUATCHIEEARLY VOTING - WRITE-INS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
SMITHEARLY VOTING - WRITE-INS,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
SUMNER11-1 BEECH,305.0,2.0,0.0,0.0,0.0,36.0,0.0,0.0,7.0,0.0,2.0,9.0,1119.0,0.0
SUMNER11-2 GOODLETTSVILLE,857.0,0.0,0.0,2.0,0.0,68.0,3.0,0.0,9.0,0.0,9.0,15.0,2090.0,0.0
SUMNER9-1 HENDERSONVILLE,991.0,0.0,0.0,5.0,0.0,112.0,5.0,0.0,2.0,0.0,6.0,16.0,2102.0,0.0
TIPTONEARLY VOTING - WRITE-INS,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
TROUSDALEEARLY VOTING - WRITE-INS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
VAN BURENCUMMINGSVILLE,54.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0
VAN BURENEARLY VOTING - WRITE-INS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
